type,v_count,e_count,matrix_avg_time,heap_avg_time,matrix_avg_operations,heap_avg_operations
sparse,1,0,5.337666880222969e-06,4.928332903849271e-06,3.0,2.0
sparse,2,1,7.93899974572317e-06,6.791999961327141e-06,13.0,9.0
sparse,3,2,1.0195666375996855e-05,8.598333442932926e-06,27.0,16.0
sparse,4,3,1.2282367000201097e-05,9.86266641120892e-06,45.0,23.0
sparse,5,4,1.5123366877863493e-05,1.0959332454755592e-05,67.0,30.0
dense,1,0,5.310666529112495e-06,4.775000343215652e-06,3.0,2.0
dense,2,1,7.342399961392706e-06,6.664333341177553e-06,13.0,9.0
dense,3,3,1.0007366654463112e-05,8.894332980465454e-06,28.533333333333335,19.066666666666666
dense,4,6,1.2286033597774804e-05,1.1462666467802288e-05,49.6,32.2
dense,5,10,1.5199000578528891e-05,1.4135400003093915e-05,75.73333333333333,47.46666666666667
fixed_v,5,4,1.579509953444358e-05,1.100403327048601e-05,67.0,30.0
fixed_v,5,5,1.4922432940996562e-05,1.1245366476941853e-05,68.0,32.0
fixed_v,5,6,1.5161033055240598e-05,1.2593000307485152e-05,71.0,38.0
fixed_v,5,7,1.5079699975710052e-05,1.2507367015738661e-05,70.0,36.0
fixed_v,5,10,1.4916033129945087e-05,1.2984666197250287e-05,75.0,46.0
